id;titel;kategorie;Datum;Was & Wo;text;stadtteil-json;bild;Stadtteil;stadtteil_id
1894990;Restmüll;Restmüll;2025-08-06;Restmüll vierzehntägig Lengfeld;;"{""@id"": ""19941"", ""name"": ""Lengfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Lengfeld;19941
1895068;Restmüll;Restmüll;2025-08-06;Restmüll vierzehntägig Pilziggrund;;"{""@id"": ""401083"", ""name"": ""Pilziggrund""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Pilziggrund;401083
1894486;Papier;Papier;2025-08-07;Papier vierzehntägig Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Heuchelhof innen;403108
1894579;Papier;Papier;2025-08-07;Papier vierzehntägig Heidingsfeld;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Heidingsfeld;19939
1895016;Restmüll;Restmüll;2025-08-07;Restmüll vierzehntägig Lindleinsmühle;;"{""@id"": ""19942"", ""name"": ""Lindleinsmühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Lindleinsmühle;19942
1895042;Restmüll;Restmüll;2025-08-07;Restmüll vierzehntägig Neumühle;;"{""@id"": ""506176"", ""name"": ""Neumühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/445678_restmuell.jpg;Neumühle;506176
1895120;Restmüll;Restmüll;2025-08-07;Restmüll vierzehntägig Grombühl;;"{""@id"": ""19938"", ""name"": ""Grombühl""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406384_restmuell.jpg;Grombühl;19938
1895470;Gelber Sack;Gelbe Säcke;2025-08-07;Gelber Sack vierzehntägig Heidingsfeld;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Heidingsfeld;19939
1895616;Gelber Sack;Gelbe Säcke;2025-08-07;Gelber Sack vierzehntägig Heuchelhof innen	innerhalb des Straßburger Rings außer Place de Caen;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406386_gelbersack2.jpg;Heuchelhof innen;403108
1896015;Bioabfall;Biomüll;2025-08-07;Bioabfall Heidingsfeld;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heidingsfeld;19939
1896151;Bioabfall;Biomüll;2025-08-07;Bioabfall Heuchelhof innen	innerhalb des Straßburger Rings;;"{""@id"": ""403108"", ""name"": ""Heuchelhof innen""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406380_biotonne.jpg;Heuchelhof innen;403108
1896223;Bioabfall;Biomüll;2025-08-07;Bioabfall Grombühl;;"{""@id"": ""19938"", ""name"": ""Grombühl""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Grombühl;19938
1896274;Bioabfall;Biomüll;2025-08-07;Bioabfall Lindleinsmühle;;"{""@id"": ""19942"", ""name"": ""Lindleinsmühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Lindleinsmühle;19942
1896584;Bioabfall;Biomüll;2025-08-07;Bioabfall Neumühle;;"{""@id"": ""506176"", ""name"": ""Neumühle""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406382_biotonne.jpg;Neumühle;506176
1781755;Mobile Problemmüll- und Wertstoffsammlung;Wertstoffmobil;2025-08-07;Heidingsfeld, Rathausplatz, 8:30 - 9:30 Uhr;;"{""@id"": ""19939"", ""name"": ""Heidingsfeld""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/445677_wertstoff.jpg;Heidingsfeld;19939
1837236;Mobile Problemmüll- und Wertstoffsammlung;Wertstoffmobil;2025-08-07;Frauenland, Wittelsbacher Platz, 10:00 - 11:00 Uhr;;"{""@id"": ""19937"", ""name"": ""Frauenland""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/445677_wertstoff.jpg;Frauenland;19937
1894419;Papier;Papier;2025-08-08;Papier vierzehntägig Rottenbauer;;"{""@id"": ""19940"", ""name"": ""Rottenbauer""}";https://www.wuerzburg.de/media/www.wuerzburg.de/media/med_402081/406387_papiertonn.png;Rottenbauer;19940
